254	1	22730	17981	2483	783	288	1195	13
255	4	6799	5315	871	286	97	230	11
256	4	13897	9503	2066	914	338	1076	13
257	1	80663	62506	9582	3756	1282	3537	15
258	1	65837	50939	7529	3347	1099	2923	15
259	1	59308	40317	7386	4229	2247	5129	14
260	2	217	124	36	19	14	24	11
261	2	645	399	95	58	16	77	11
262	2	228	149	29	11	11	28	11
263	5	14584	9406	1886	1128	660	1504	13
264	4	4148	2503	898	420	125	202	12
265	2	7420	4465	2329	402	87	137	12
266	2	21944	8323	4443	3243	1875	4060	14
267	3	465	208	41	37	40	139	11
268	1	733	449	144	46	19	75	11
269	1	741	352	162	112	48	67	11
270	2	195	125	24	17	8	21	11
271	4	2875	1299	872	544	76	84	11
272	4	27518	15232	7330	2797	703	1456	13
273	4	833	424	154	117	41	97	11
274	4	676	320	205	94	27	30	11
275	4	9323	7867	643	332	161	320	11
276	3	1337	919	194	73	25	126	11
277	1	20275	12908	2874	1714	840	1939	12
278	1	2043	1295	254	144	91	259	12
279	2	1594	846	318	258	66	106	11
280	4	1033	294	292	229	87	131	11
281	2	11325	7198	2456	938	249	484	13
282	1	183	119	24	10	8	22	11
283	2	30276	20339	6262	2119	539	1017	14
284	1	1905	876	235	189	106	499	11
285	2	201	134	24	13	8	22	11
286	2	269	173	54	23	6	13	11
287	2	120311	70152	29342	11937	3290	5590	15
288	2	4751	3393	929	217	61	151	12
289	2	2977	1464	1056	305	58	94	12
290	2	22504	13484	5912	2100	414	594	13
291	1	5281	4058	690	206	96	231	11
292	2	170	101	25	13	6	25	11
293	2	5823	3823	832	536	187	445	13
294	1	3336	1812	557	364	156	447	12
295	4	586	342	83	65	25	71	11
296	4	2162	1197	288	213	139	325	11
297	4	830	534	160	82	25	29	11
298	4	44586	29856	5438	3470	1611	4211	13
299	4	2857	1641	328	270	160	458	11
300	4	2225	1446	216	180	109	274	11
301	4	3261	1794	381	321	217	548	11
302	4	2362	1407	271	235	139	310	11
303	4	11502	6628	1190	1116	627	1941	13
304	2	2330	1522	556	133	39	80	11
305	2	332	224	50	18	14	26	11
306	4	1109	748	145	84	36	96	11
307	4	7462	3884	1302	944	453	879	11
308	1	712	514	94	50	15	39	11
309	4	376	200	45	48	18	65	11
310	1	872	469	111	70	43	179	11
311	2	302	181	35	22	12	52	11
312	4	8176	5252	1577	695	220	432	13
313	4	4928	3447	835	303	117	226	12
314	4	508	344	73	31	16	44	11
315	2	12654	9963	1542	505	178	466	13
316	4	3577	2077	553	283	174	490	13
317	4	3433	1891	535	333	172	502	13
318	1	23034	15501	5181	1476	303	573	13
319	1	47755	36881	7224	1992	500	1158	14
320	6	1442	1044	217	78	34	69	11
321	4	1129	705	124	91	39	170	11
322	4	1410	917	94	89	72	238	11
323	4	7867	5014	1624	592	190	447	13
324	4	816	459	153	79	36	89	11
325	4	565	376	96	39	15	39	11
326	2	6777	3825	1732	628	206	386	13
327	2	33903	24676	6360	1825	382	660	13
328	2	5499	4310	634	296	101	158	11
329	2	46981	40833	4185	1203	240	520	13
330	1	923	446	95	89	53	240	11
331	2	667	432	73	56	24	82	11
332	1	1515	894	265	171	60	125	12
333	2	2581	1610	490	203	95	183	11
334	2	1598	976	375	87	33	127	11
335	4	328	213	45	30	12	28	11
336	6	185	86	21	17	10	51	11
